code,date,open,high,low,close,volume,value,return
852,2018-01-18,6928.095,6963.624,6926.586,6955.232,710233.25,7650456.89,0.1782
300,2018-01-18,4259.375,4292.637,4246.684,4271.417,1720328.46,22528968.89,0.5485
852,2018-01-19,6953.336,6981.813,6928.649,6938.312,755442.77,8254265.02,-0.2433
300,2018-01-19,4281.937,4316.571,4269.617,4285.395,2094905.7,25855472.54,0.3272
905,2018-01-19,6284.596,6316.998,6261.235,6272.38,718067.42,8426316.38,-0.2294
906,2018-01-19,4615.358,4649.168,4601.247,4615.887,2812973.12,34281788.91,0.1867
905,2018-01-22,6264.755,6347.815,6248.314,6347.638,727611.69,8547548.42,1.1998
852,2018-01-22,6928.798,7014.826,6902.63,7014.548,814903.71,9144169.14,1.0988
300,2018-01-22,4276.481,4338.483,4275.898,4336.597,1746431.95,23396022.33,1.1948
906,2018-01-22,4607.288,4672.65,4606.362,4671.096,2474043.64,31943570.76,1.1961
905,2018-01-23,6342.688,6362.58,6330.456,6354.998,667538.86,8053965.56,0.1159
852,2018-01-23,7008.971,7028.567,6996.644,7019.975,786226.37,8693595.67,0.0774
906,2018-01-23,4678.479,4710.202,4676.559,4709.563,2686214.7,33765301.55,0.8235
300,2018-01-23,4346.889,4383.572,4346.793,4382.613,2018675.85,25711335.99,1.0611
852,2018-01-24,7008.469,7072.871,6972.691,7072.406,912792.68,10412399.23,0.7469
906,2018-01-24,4714.766,4725.764,4680.898,4722.698,2971666.16,37922489.36,0.2789
300,2018-01-24,4389.455,4397.82,4349.087,4389.885,2198188.89,28447080.95,0.1659
905,2018-01-24,6353.298,6395.572,6322.92,6394.3,773477.27,9475408.41,0.6184
905,2018-01-25,6386.799,6424.351,6380.838,6382.717,810829.37,9599044.35,-0.1811
906,2018-01-25,4714.933,4729.918,4681.022,4700.552,2764578.87,34629853.53,-0.4689
852,2018-01-25,7065.296,7110.151,7057.636,7062.635,971557.28,11041961.4,-0.1382
300,2018-01-25,4381.977,4392.196,4336.239,4365.079,1953749.5,25030809.19,-0.5651
905,2018-01-26,6374.1,6401.484,6368.901,6383.631,690045.49,8247680.06,0.0143
852,2018-01-26,7043.271,7070.601,7037.998,7056.013,825969.85,9245919.3,-0.0938
300,2018-01-26,4352.221,4403.338,4351.487,4381.3,1772272.37,22333130.91,0.3716
906,2018-01-26,4688.59,4733.893,4687.096,4713.8,2462317.86,30580810.97,0.2818
905,2018-01-29,6385.037,6398.97,6295.895,6309.884,840311.61,9686207.96,-1.1553
300,2018-01-29,4387.058,4395.905,4287.112,4302.018,1911003.54,25617632.38,-1.8096
852,2018-01-29,7052.308,7060.124,6956.198,6972.479,874382.31,9670736.37,-1.1839
906,2018-01-29,4718.703,4726.452,4622.205,4636.23,2751315.15,35303840.34,-1.6456
905,2018-01-30,6301.348,6330.537,6300.456,6313.442,706996.88,8157758.66,0.0564
852,2018-01-30,6955.677,6977.097,6944.799,6955.243,733046.21,8018994.88,-0.2472
300,2018-01-30,4286.683,4308.512,4251.571,4256.102,1390347.3,18665056.62,-1.0673
906,2018-01-30,4622.287,4645.238,4594.734,4599.872,2097344.18,26822815.27,-0.7842
906,2018-01-31,4575.534,4614.678,4563.085,4592.859,2259436.59,28250801.18,-0.1525
905,2018-01-31,6277.742,6277.742,6170.161,6189.341,807334.95,8810621.38,-1.9657
852,2018-01-31,6913.355,6913.355,6773.987,6791.009,937179.53,9817154.68,-2.3613
300,2018-01-31,4234.11,4287.858,4232.773,4275.899,1452101.64,19440179.8,0.4651
905,2018-02-01,6180.999,6196.715,5984.284,5984.743,949685.24,10212204.69,-3.3057
852,2018-02-01,6775.359,6792.99,6505.761,6506.453,1081889.69,10703756.36,-4.1902
300,2018-02-01,4276.343,4287.389,4214.291,4245.898,1900029.34,23923029.89,-0.7016
906,2018-02-01,4591.673,4602.481,4506.659,4530.8,2849714.58,34135234.59,-1.3512
906,2018-02-02,4496.312,4555.56,4454.339,4554.947,2298143.87,28072719.29,0.533
905,2018-02-02,5937.62,6006.475,5844.464,6004.849,837475.61,8955732.56,0.336
852,2018-02-02,6454.445,6493.224,6322.576,6487.867,858956.24,8577904.14,-0.2857
300,2018-02-02,4213.939,4271.765,4181.779,4271.233,1460668.27,19116986.73,0.5967
905,2018-02-05,5927.737,6016.157,5907.469,5998.224,740465.19,7927707.05,-0.1103
852,2018-02-05,6403.078,6485.754,6379.834,6461.813,706657.45,7212406.56,-0.4016
300,2018-02-05,4204.458,4274.146,4200.141,4274.146,1613477.99,21736014.45,0.0682
906,2018-02-05,4486.84,4556.985,4480.361,4556.071,2353943.19,29663721.5,0.0247
906,2018-02-06,4461.336,4490.073,4395.775,4400.68,3072511.59,37507102.4,-3.4106
852,2018-02-06,6353.205,6383.182,6142.403,6142.668,910783.75,8912234.7,-4.9389
300,2018-02-06,4182.326,4211.523,4131.556,4148.886,2149104.5,27941508.32,-2.9306
905,2018-02-06,5886.346,5920.74,5702.85,5704.264,923407.09,9565594.09,-4.9008
905,2018-02-07,5805.965,5831.811,5630.087,5711.332,852359.97,8896542.28,0.1239
300,2018-02-07,4205.737,4212.568,4048.423,4050.497,2031274.93,26150702.74,-2.3715
852,2018-02-07,6236.456,6270.569,6042.627,6158.257,846812.0,8466999.9,0.2538
906,2018-02-07,4465.337,4475.595,4320.597,4322.661,2883634.9,35047245.02,-1.7729
906,2018-02-08,4297.495,4352.85,4265.004,4301.865,2217147.82,26540001.71,-0.4811
852,2018-02-08,6141.783,6243.737,6138.166,6238.221,633109.89,6413482.68,1.2985
300,2018-02-08,4022.88,4071.665,3974.678,4012.047,1592699.85,19906177.2,-0.9493
905,2018-02-08,5695.666,5786.785,5691.292,5766.48,624447.97,6633824.51,0.9656
906,2018-02-09,4183.544,4196.474,4047.243,4124.523,2906686.7,32906649.87,-4.1224
300,2018-02-09,3896.169,3911.292,3759.146,3840.653,2063498.28,24677482.84,-4.272
852,2018-02-09,6100.348,6142.313,5983.766,6053.02,812440.07,7757035.48,-2.9688
905,2018-02-09,5631.96,5663.104,5490.625,5554.897,843188.42,8229167.03,-3.6692
300,2018-02-12,3846.267,3907.843,3828.07,3890.105,1161826.37,14985804.36,1.2876
852,2018-02-12,6074.461,6216.516,6074.461,6203.752,621440.22,6360925.29,2.4902
906,2018-02-12,4134.012,4208.16,4119.582,4191.081,1734291.31,21128880.18,1.6137
905,2018-02-12,5581.711,5714.818,5581.711,5699.098,572464.94,6143075.82,2.5959
905,2018-02-13,5731.147,5789.698,5727.754,5736.951,572086.34,6279049.97,0.6642
852,2018-02-13,6229.376,6268.775,6211.628,6216.51,614025.76,6335938.39,0.2056
300,2018-02-13,3925.596,3986.981,3925.596,3935.632,1125658.85,14447935.44,1.1703
906,2018-02-13,4225.626,4285.776,4225.626,4234.792,1697745.19,20726985.41,1.043
300,2018-02-14,3945.094,3971.404,3923.127,3966.961,710813.38,9311020.14,0.796
852,2018-02-14,6216.381,6230.732,6182.893,6230.663,430782.75,4383072.51,0.2277
905,2018-02-14,5741.884,5761.769,5712.879,5754.834,413982.22,4248998.23,0.3117
906,2018-02-14,4243.333,4268.101,4220.393,4263.36,1124795.6,13560018.37,0.6746
906,2018-02-22,4315.44,4359.243,4307.097,4354.886,1654476.79,20032631.21,2.1468
905,2018-02-22,5800.949,5875.759,5797.908,5875.727,596361.07,6199195.04,2.1007
300,2018-02-22,4020.973,4058.788,4009.92,4052.733,1058115.71,13833436.17,2.1622
852,2018-02-22,6269.367,6347.149,6269.367,6347.083,569355.33,5969664.69,1.8685
905,2018-02-23,5877.716,5902.936,5848.523,5897.677,621478.5,6482510.32,0.3736
300,2018-02-23,4061.755,4085.201,4035.232,4071.089,994587.46,12819583.52,0.4529
852,2018-02-23,6346.822,6367.056,6316.543,6365.916,642128.2,6535554.69,0.2967
906,2018-02-23,4362.527,4385.972,4335.746,4373.747,1616065.95,19302093.84,0.4331
906,2018-02-26,4397.054,4444.819,4359.749,4436.337,2209549.87,27107794.85,1.431
905,2018-02-26,5926.421,6032.136,5917.617,6029.68,830739.87,9206485.49,2.2382
852,2018-02-26,6396.507,6509.624,6382.154,6507.128,895301.67,9290305.3,2.2183
300,2018-02-26,4093.399,4128.744,4048.983,4118.419,1378810.01,17901309.36,1.1626
852,2018-02-27,6506.4,6540.75,6491.533,6529.38,923612.76,9750631.99,0.342
300,2018-02-27,4120.871,4120.871,4051.805,4058.981,1259344.7,16968490.1,-1.4432
906,2018-02-27,4437.612,4437.612,4379.034,4384.879,2029566.28,25997002.95,-1.1599
905,2018-02-27,6025.883,6042.389,6000.881,6010.557,770221.58,9028512.85,-0.3171
906,2018-02-28,4342.97,4385.157,4317.61,4358.817,1803305.1,23476041.75,-0.5944
905,2018-02-28,5967.898,6044.069,5939.643,6023.677,709869.17,8226650.82,0.2183
300,2018-02-28,4016.791,4051.712,3991.706,4023.642,1093435.93,15249390.93,-0.8706
852,2018-02-28,6488.25,6581.082,6461.367,6563.808,880315.9,9670499.12,0.5273
300,2018-03-01,3994.869,4061.033,3986.895,4049.086,1101998.52,14600345.67,0.6324
906,2018-03-01,4328.898,4398.298,4320.081,4391.648,1833016.25,23247385.67,0.7532
852,2018-03-01,6530.223,6658.935,6517.588,6658.578,910813.98,9982467.43,1.4438
905,2018-03-01,5987.359,6090.995,5974.118,6090.225,731017.73,8647040.0,1.1048
905,2018-03-02,6053.477,6094.798,6044.259,6056.335,734348.29,8613500.01,-0.5565
906,2018-03-02,4357.326,4386.775,4351.507,4359.073,1695998.28,21706618.13,-0.7417
852,2018-03-02,6621.526,6672.962,6612.458,6632.371,891204.46,9720309.36,-0.3936
300,2018-03-02,4014.951,4044.418,4006.944,4016.461,961650.0,13093118.12,-0.8057
300,2018-03-05,4021.658,4042.835,3995.872,4018.097,879525.48,11819785.95,0.0407
906,2018-03-05,4365.177,4382.897,4338.101,4361.829,1552772.42,20031159.07,0.0632
905,2018-03-05,6066.683,6080.97,6031.98,6064.098,673246.93,8211373.12,0.1282
852,2018-03-05,6648.26,6674.414,6626.421,6674.277,793167.83,8799135.83,0.6318
905,2018-03-06,6077.369,6145.851,6070.721,6145.577,834957.67,9990015.27,1.3436
906,2018-03-06,4377.9,4416.827,4347.823,4415.985,2222582.11,27127080.68,1.2416
852,2018-03-06,6679.275,6735.961,6679.051,6735.859,964659.95,10604583.94,0.9227
300,2018-03-06,4034.985,4067.553,3998.932,4066.565,1387624.44,17137065.41,1.2062
905,2018-03-07,6133.947,6149.097,6082.584,6086.487,745941.29,8493505.19,-0.9615
906,2018-03-07,4411.363,4434.489,4373.261,4380.933,1815465.55,22150735.74,-0.7938
852,2018-03-07,6726.802,6740.083,6682.643,6688.545,857177.65,9081516.15,-0.7024
300,2018-03-07,4063.503,4089.696,4027.936,4036.654,1069524.26,13657230.56,-0.7355
300,2018-03-08,4038.953,4078.226,4029.714,4077.6,911558.1,12363463.71,1.0144
906,2018-03-08,4380.414,4422.818,4374.113,4422.278,1590457.21,20036765.75,0.9437
905,2018-03-08,6073.671,6131.705,6073.671,6131.514,678899.11,7673302.03,0.7398
852,2018-03-08,6679.036,6725.418,6678.676,6725.183,790154.77,8566296.7,0.5478
906,2018-03-09,4430.646,4463.589,4421.873,4461.452,1996301.49,24843735.11,0.8858
300,2018-03-09,4088.07,4110.674,4076.454,4108.865,1137018.08,15002411.97,0.7668
905,2018-03-09,6131.125,6211.278,6131.015,6206.975,859283.41,9841323.15,1.2307
852,2018-03-09,6725.43,6839.719,6722.68,6837.126,1066389.12,11755293.6,1.6645
905,2018-03-12,6230.813,6295.781,6230.391,6295.778,976622.76,11723750.24,1.4307
852,2018-03-12,6865.445,6947.646,6865.445,6947.46,1233783.24,14101977.25,1.6137
906,2018-03-12,4483.473,4499.105,4474.598,4493.048,2385690.15,30760509.62,0.7082
300,2018-03-12,4130.708,4139.526,4112.766,4127.666,1409067.39,19036759.38,0.4576
852,2018-03-13,6937.125,6963.849,6906.654,6911.666,1111529.29,12452486.27,-0.5152
905,2018-03-13,6285.802,6297.432,6251.399,6254.146,848047.58,9752349.71,-0.6613
906,2018-03-13,4488.512,4493.661,4452.903,4455.986,1965711.88,23869765.78,-0.8249
300,2018-03-13,4124.331,4130.283,4087.563,4091.253,1117664.3,14117416.06,-0.8822
906,2018-03-14,4440.055,4450.592,4426.972,4429.548,1744800.42,21872318.47,-0.5933
300,2018-03-14,4076.063,4089.094,4066.49,4073.345,990134.09,13153795.94,-0.4377
905,2018-03-14,6234.242,6253.172,6185.178,6189.317,754666.33,8718522.53,-1.0366
852,2018-03-14,6886.019,6908.112,6831.752,6834.835,941894.3,10557246.82,-1.1116
